topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1251257941510041604	http://twitter.com/user/status/1251257941510041604	tegen de stroom in voel ik mij steeds beter #opgevenisgeenoptie #blijfgezond #samensterk #staysafe	0
COVID-19	1243474733351436289	http://twitter.com/user/status/1243474733351436289	In de strijd tegen #COVID19 wil ik verzekeren dat EU-recht volledig wordt toegepast. Persoonlijke data beschermen en privacy blijven een prioriteit zelfs tijdens dit noodgeval (2/2) https://t.co/Np7zTkKwcN	0
COVID-19	1248584031370870784	http://twitter.com/user/status/1248584031370870784	Rol van #media gedurende #coronavirusNederland. Veel op emotie gaan zitten met weinig aandacht voor echte feiten, maar juist uitgaan van (slechte en ongefundeerde) interpretaties. https://t.co/Wa8cyfx2g0	0
COVID-19	1251947418465296384	http://twitter.com/user/status/1251947418465296384	De foto's van de dag. #coronavirus #COVID2019NL Lubach #COVID2019 #coronavirusNederland #jinek #samensterk #op1 #BlijfThuis #ikblijfthuis #Welterusten #goedemorgen : https://t.co/ALbISZPQvH	0
COVID-19	1249247688354381824	http://twitter.com/user/status/1249247688354381824	Maak er mooie dagen van maarrrr #blijfthuis 🥚🐣🐥 https://t.co/Rxv7NkDphD	0
COVID-19	1245152465487638534	http://twitter.com/user/status/1245152465487638534	Hij is gek #Trump #COVID19 https://t.co/FO0D9G5p60	0
COVID-19	1245988073038643202	http://twitter.com/user/status/1245988073038643202	Blijf ook maar weg uit Den Haag &gt; niks te beleven #blijfthuis https://t.co/POs1ANO6aK	0
COVID-19	1242402214850768896	http://twitter.com/user/status/1242402214850768896	Kwart voor twaalf en de accu van de twitterfoon is al half leeg. #blijfthuis	0
COVID-19	1241664038997823488	http://twitter.com/user/status/1241664038997823488	NU voor iedereen in de woonkamer #blijfthuis #covid19Nederland https://t.co/HT2Ek5ooWu	0
COVID-19	1246433729217728512	http://twitter.com/user/status/1246433729217728512	het derde verblijf, daar was toch nog niks over gezegd ? #COVID19 https://t.co/e6blb0ribi	0
COVID-19	1240603314980392966	http://twitter.com/user/status/1240603314980392966	#SamenTegenCorona: applaus voor zorghelden, huisarts wordt dj en Aurelie (10) maakt pakkende video https://t.co/3b8Ksws7jF https://t.co/Riyx8Yo3iU	1
COVID-19	1254633936929595392	http://twitter.com/user/status/1254633936929595392	Fijne dag #BlijfThuis 🇳🇱 https://t.co/QtM7AJ4eKS	0
COVID-19	1255390116828401664	http://twitter.com/user/status/1255390116828401664	Zoekt u zelf werk of voor uw medewerkers? Of heeft u vacatures? Kijk dan even hieronder. #arbeidsmarkt #COVID19 #ondernemen #MKB #NBBU https://t.co/lAdHuE9dPv	0
COVID-19	1241120815212564487	http://twitter.com/user/status/1241120815212564487	Ligt het aan mij, of vliegen er op dit moment heel veel vliegtuigen over (Leiden) #covid19Nederland	0
COVID-19	1240701113138941952	http://twitter.com/user/status/1240701113138941952	Pronostiek: wanneer kunnen kinderen weer naar school? #COVID19 #COVID19BE #COVID19Belgium	0
COVID-19	1239232908730216449	http://twitter.com/user/status/1239232908730216449	😐moet hij eerst #hamsteren voordat we worden toegesproken?☺️ https://t.co/IcQtRdRITb	0
COVID-19	1238094774453833730	http://twitter.com/user/status/1238094774453833730	Kabinet ondersteunt ondernemer in Corona-crisis https://t.co/OhdYpHSezS #coronavirusNederland	1
COVID-19	1238154603583156225	http://twitter.com/user/status/1238154603583156225	Heropening van het @airbornemuseum in #Oosterbeek uitgesteld #Airborne #Covid19 #coronavirus https://t.co/dK6vP1ozay https://t.co/NoRWJKnhmw	1
COVID-19	1247041357052600322	http://twitter.com/user/status/1247041357052600322	Om dit nu uit de doeken te gaan doen?  #covid_19 #corona #campaign #weird #staystrong #picoftheday #repost https://t.co/hBB4dV56tb	0
COVID-19	1238165877729759238	http://twitter.com/user/status/1238165877729759238	We schakelen nu live over naar het crisisoverleg bij de #Efteling. #COVID19NL https://t.co/PVveRF2kKU	0
COVID-19	1245029174189985793	http://twitter.com/user/status/1245029174189985793	Hopelijk duurt dit niet tot 1 julo. #persconferentie	0
COVID-19	1239152526026518534	http://twitter.com/user/status/1239152526026518534	Aantal restaurants in #groningen nu op slot. #blijfthuis	1
COVID-19	1244341963480076290	http://twitter.com/user/status/1244341963480076290	Nederland heeft het niet in de hand. Onbetrouwbaar #RIVM weet nog steeds niet waar het mee bezig is en politiek grijpt niet in. #COVID2019NL #Coronavirusnl #RIVM RIVM verwacht toch meer #coronapatiënten op intensive care https://t.co/YJcwMbc4ko	1
COVID-19	1242875052300869633	http://twitter.com/user/status/1242875052300869633	Zelfs de klokken van de Gertrudiskerk luiden vanavond voor hoop en troost. #COVID19NL https://t.co/W9A6ubxw0J	1
COVID-19	1242484308914429960	http://twitter.com/user/status/1242484308914429960	Tweede ronde! Invullen aub! #COVID2019 #COVID19 #COVID19BE #COVIDー19 #coronavirus #Coronabelgie   https://t.co/8IsoulOn1R https://t.co/Wbd8EskIQF	0
COVID-19	1240284495489781762	http://twitter.com/user/status/1240284495489781762	Dat de tweede kamer zich maar bezig houdt hoe t verder moet ipv elkaar vliegen af tevangen  #coronadebat	0
COVID-19	1249751361463504902	http://twitter.com/user/status/1249751361463504902	Ondernemers, industrie, innovatie, samenwerking = oplossingen  💚👏🤝 #beschermingvoorhelden #samentegencorona https://t.co/BB1chW2rpZ	0
COVID-19	1242875426537603073	http://twitter.com/user/status/1242875426537603073	@RWSverkeersinfo Was ook zo bedoeld hoor. Ik #blijfthuis en hou mij zeker aan de regs en hoop dat andere dat het ook doen. Fijne avond!	0
COVID-19	1237723027707740166	http://twitter.com/user/status/1237723027707740166	#COVID19 Wat doe je liever? Een exotische vakantie mislopen of een exotische vakantie op een quarantaine lokatie? Beide voor dezelfde prijs! https://t.co/ViJKC058tK	0
